Address,Bedrooms,Bathrooms,Agent Name,Building,Price,Organization,Area Code,Phone Number,Property Type
"622 BARRACKS WAY|Ottawa, Ontario K2S0L3",4 + 0,4,Jeffrey Usher,House,"$700,000",GRAPE VINE REALTY INC.,613,829-1000,"$700,000"
"448 KINTYRE PRIVATE|Ottawa, Ontario K2C3M9",4 + 1,2,Simon Si,Row / Townhouse,"$499,000",ROYAL LEPAGE PERFORMANCE REALTY,613,255-3422,"$499,000"
"11 KINGSFORD CRESCENT|Ottawa, Ontario K2K1T5",4 + 2,4,Harrison da Costa,House,"$979,000",ROYAL LEPAGE TEAM REALTY,613,983-2202,"$979,000"
"118 Av. des Champignons|Gatineau (Aylmer), Quebec J9J1W8",4,2,Martine Demers,House,"$429,900",RE/MAX DIRECT INC. - Gatineau,819,775-7719,"$429,900"
"179 GEORGE STREET UNIT#401|Ottawa, Ontario K1N1J8",2 + 0,1,Sarah Percival,Apartment,"$449,900",ROYAL LEPAGE PERFORMANCE REALTY,613,883-7076,"$449,900"
"952 EVE STREET|Ottawa, Ontario K1K3R4",3 + 3,3,Eli Skaff,House,"$699,000",AVENUE NORTH REALTY INC.,613,262-0212,"$699,000"
"1601 LUNENBERG CRESCENT|Ottawa, Ontario K1C6C2",3 + 0,3,Christine Bussieres,House,"$699,000",RE/MAX AFFILIATES REALTY LTD.,613,558-8000,"$699,000"
"530 DE MAZENOD AVENUE UNIT#507|Ottawa, Ontario K1S5W8",2 + 0,2,Jason Pilon,Apartment,"$969,900",RE/MAX HALLMARK PILON GROUP REALTY,613,909-8100,"$969,900"
"508 PINE VISTA DRIVE|Ottawa, Ontario K4A5A4",3 + 0,4,Ken Brothers,House,"$759,900",RE/MAX HALLMARK REALTY GROUP,613,858-2428,"$759,900"
"1449 RIDGEBROOK DRIVE UNIT#113|Ottawa, Ontario K1B4T1",4 + 0,2,Leo Rosato,Row / Townhouse,"$369,900",SUTTON GROUP - OTTAWA REALTY,613,720-4356,"$369,900"
"140 SOLEIL AVENUE|Ottawa, Ontario K4A0V8",3 + 1,4,Justin Mastromattei,House,"$799,900",CENTURY 21 EXPLORER REALTY INC.,613,298-7955,"$799,900"
"1859 HENNESSY CRESCENT|Ottawa, Ontario K4A3X8",3 + 0,3,Elaine Dube,House,"$699,900",RE/MAX HALLMARK REALTY GROUP,613,612-1212,"$699,900"
"1510 RIVERSIDE DRIVE UNIT#102|Ottawa, Ontario K1G4X5",2 + 0,2,Wanda Bosada,Apartment,"$875,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,724-8998,"$875,000"
"121 RALLIDALE STREET|Ottawa, Ontario K1X0G8",2 + 1,3,F. Dwight Delahunt,House,"$779,900",RE/MAX AFFILIATES REALTY LTD.,613,837-0000,"$779,900"
"106 CLARKSON CRESCENT|Kanata, Ontario K2L3E2",3 + 0,3,Randa Salib,Row / Townhouse,"$424,900",SUTTON GROUP - OTTAWA REALTY,613,983-7776,"$424,900"
"2323 WATERCOLOURS WAY|Nepean, Ontario K2J6N2",3 + 0,3,Marat Lerner,Row / Townhouse,"$649,900",DETAILS REALTY INC.,613,204-1807,"$649,900"
"267 KIMPTON DRIVE|Ottawa, Ontario K2S2E7",4 + 0,3,Stuart Watkins,Row / Townhouse,"$599,900",ROYAL LEPAGE TEAM REALTY,613,252-9112,"$599,900"
"126 HIGHFIELD CRESCENT|Carleton Place, Ontario K7C3P2",3 + 1,2,Paul Butcher,House,"$529,000",AVENUE NORTH REALTY INC.,613,898-8597,"$529,000"
"38 Rue d'Alençon|Gatineau (Gatineau), Quebec J8T4N8",4,2,Melissa Harvey,House,"$349,900",RE/MAX DIRECT INC. - Gatineau,819,962-6493,"$349,900"
"150 Rue Fernand-Arvisais|#2|Gatineau (Gatineau), Quebec J8P4Y9",2,1,Roch St Jacques,Apartment,"$214,900",RE/MAX DIRECT INC. - Gatineau,819,213-4740,"$214,900"
"11 Ch. Robineau|Val-des-Monts, Quebec J8N7P8",3,2,Michelle Poirier Asselin,House,"$379,900",RE/MAX VISION - Hull,819,921-3883,"$379,900"
"111 INVERKIP AVENUE|Ottawa, Ontario K1T4B9",3 + 0,3,Steven Liao,Row / Townhouse,"$549,900",CENTURY 21 EXPLORER STEVEN LIAO REALTY INC.,613,818-9066,"$549,900"
"2337 ORIENT PARK DRIVE|Ottawa, Ontario K1B4Y6",3 + 0,4,Heather Berenbaum,Row / Townhouse,"$399,900",RE/MAX HALLMARK REALTY GROUP,613,608-8986,"$399,900"
"378-380 WILBROD STREET|Ottawa, Ontario K1N6M8",4 + 1,3,Marilyn Wilson,Duplex,"$1,475,000",MARILYN WILSON DREAM PROPERTIES INC.,613,842-5000,"$1,475,000"
"40 Rue des Châteaux-des-Bois|#306|Gatineau (Aylmer), Quebec J9H6V6",2,2,Vyncent Ledoux,Apartment,"$349,900",RE/MAX VISION - Hull,819,593-1768,"$349,900"
"6 Crois. Annabelle|Bristol, Quebec J0X1G0",,,Jarod Croghan,,"$39,900",Royal LePage Vallée de l'Outaouais - Aylmer,819,664-7093,"$39,900"
"8 Crois. Annabelle|Bristol, Quebec J0X1G0",,,Jarod Croghan,,"$39,900",Royal LePage Vallée de l'Outaouais - Aylmer,819,664-7093,"$39,900"
"78 VANSTONE DRIVE|Kanata, Ontario K2L3T1",4 + 0,4,Sunita Gangal,House,"$969,000",COLDWELL BANKER SARAZEN REALTY,613,277-8710,"$969,000"
"590 PENNYCROSS LANE|Ottawa, Ontario K0A1L0",3 + 0,3,Kristine Johnson,House,"$2,150,000",RE/MAX ABSOLUTE REALTY INC.,613,262-2742,"$2,150,000"
"66 STONEPATH CRESCENT|Stittsville, Ontario K2S1S4",3 + 0,3,Nancy Allen,House,"$599,900",RE/MAX ABSOLUTE REALTY INC.,613,986-6769,"$599,900"
"207 GEYSER PLACE|Ottawa, Ontario K2J6N9",3 + 0,3,Trisha Shaver,Row / Townhouse,"$649,000",RE/MAX HALLMARK REALTY GROUP,613,302-8448,"$649,000"
"3415 UPLANDS DRIVE UNIT#30|Ottawa, Ontario K1V9N3",2 + 1,2,Sheila Devries,Row / Townhouse,"$359,900",CENTURY 21 SYNERGY REALTY INC.,613,866-5871,"$359,900"
"1975 GREENVALE LANE|Ottawa, Ontario K1C6E4",3 + 0,2,Julia Zhu,Row / Townhouse,"$359,900",ESTEEM REALTY INC.,613,262-2228,"$359,900"
"101 RICHMOND ROAD UNIT#404|Ottawa, Ontario K1Z0A6",1 + 0,1,Christopher Avalos,Apartment,"$374,800",EXP REALTY,613,853-9431,"$374,800"
"1308 ESSEX AVENUE|Ottawa, Ontario K1H7P2",4 + 0,2,Jennifer Keeley,House,"$499,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,791-6186,"$499,000"
"1158 BELANGER AVENUE UNIT#6|Ottawa, Ontario K1H8A2",3 + 0,2,Elena Levin,Row / Townhouse,"$499,900",RE/MAX AFFILIATES REALTY LTD.,613,263-3558,"$499,900"
"620 MCCONNELL ROAD|Merrickville, Ontario K0G1N0",2 + 0,1,Manfred Schlesiger,House,"$339,900",ROYAL LEPAGE PERFORMANCE REALTY,613,276-7169,"$339,900"
"414 CACHE BAY CRESCENT|Ottawa, Ontario K1T4H3",3 + 0,3,Jeffrey Usher,Row / Townhouse,"$417,000",GRAPE VINE REALTY INC.,613,829-1000,"$417,000"
"2749 DRAPER PLACE|Ottawa, Ontario K2H7A3",3 + 1,3,Vineet Parti,House,"$749,000",RE/MAX AFFILIATES REALTY LTD.,613,864-8584,"$749,000"
"37 WOODVALE GREEN UNIT#E|Ottawa, Ontario K2G4H3",3 + 0,3,Lori Deeprose,Row / Townhouse,"$374,900",ROYAL LEPAGE PERFORMANCE REALTY,613,238-2801,"$374,900"
"1780 PLAINRIDGE CRESCENT|Ottawa, Ontario K4A0L9",3 + 0,3,Jeffrey Usher,Row / Townhouse,"$390,000",GRAPE VINE REALTY INC.,613,829-1000,"$390,000"
"380 ISLAND PARK DRIVE|Ottawa, Ontario K1Y0A9",3 + 1,3,Diana Sneddon,House,"$1,150,000",ROYAL LEPAGE TEAM REALTY,613,697-8946,"$1,150,000"
"1815 LAMOUREUX DRIVE|Orleans, Ontario K1E2H3",3 + 0,2,Ian Charlebois,Row / Townhouse,"$470,000",IAN CHARLEBOIS REAL ESTATE & MORTGAGES INC,613,422-7653,"$470,000"
"6 Rue du Vermont|Gatineau (Gatineau), Quebec J8P2K3",2,2,Julio Valenzuela,House,"$469,000",Royal LePage Vallée de l'Outaouais,819,210-4951,"$469,000"
"204 Rue Berthel|Gatineau (Buckingham), Quebec J8L3Z2",4,2,Anik Mainville,House,"$287,000",RE/MAX VISION - Buckingham,819,962-1997,"$287,000"
"19 Rue Tremblay|Gatineau (Buckingham), Quebec J8L3M9",5,2,Mélanie Bergevin,House,"$389,900",RE/MAX DIRECT INC.,819,918-5631,"$389,900"
"1327 CAHILL DRIVE|Ottawa, Ontario K1V7K3",4 + 0,3,Kenneth Tripp,House,"$689,900",EXP REALTY,613,291-8033,"$689,900"
"853 ALPINE AVENUE|Ottawa, Ontario K2B5R5",3 + 0,3,Janda Shamess,House,"$949,000",PURPLEBRICKS,866,336-9637,"$949,000"
"596 O'CONNOR STREET|Ottawa, Ontario K1S3R5",2 + 0,2,Dominique Milne,House,"$799,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,864-5566,"$799,000"
"255A SUNNYSIDE AVENUE|Ottawa, Ontario K1S0R4",2 + 0,2,Toby Pike,Row / Townhouse,"$699,900",ROYAL LEPAGE PERFORMANCE REALTY,613,730-5064,"$699,900"
"115 ISSAM PRIVATE|Ottawa, Ontario K1T4B6",3 + 1,4,Darcy Whyte,House,"$1,249,900",CENTURY 21 SYNERGY REALTY INC,613,697-8722,"$1,249,900"
"24 BYRON AVENUE|Ottawa, Ontario K1Y3H9",5 + 0,2,Carmine Tripudio,House,"$1,150,000",RE/MAX HALLMARK REALTY GROUP,613,298-8000,"$1,150,000"
"122 DAVENTRY CRESCENT|Ottawa, Ontario K2J4M7",2 + 0,2,Timothy Larocque,Row / Townhouse,"$399,900",GREENKEY REALTY INC.,613,668-2710,"$399,900"
"552 STARGAZER CRESCENT|Ottawa, Ontario K4M0H2",3 + 0,3,Rachel Hammer,Row / Townhouse,"$825,000",ROYAL LEPAGE TEAM REALTY HAMMER & ASSOC.,613,369-8314,"$825,000"
"205 CLOTHIER STREET W|Kemptville, Ontario K0G1J0",4 + 0,3,Sue Jackson,House,"$699,900",ROYAL LEPAGE TEAM REALTY,613,795-6801,"$699,900"
"1361 FITZPATRICK STREET|Ottawa, Ontario K1E3L7",3 + 0,3,Nezar Bekir,House,"$699,900",ROYAL LEPAGE PERFORMANCE REALTY,613,617-7191,"$699,900"
"1785 CABARET LANE UNIT#108|Ottawa, Ontario K4A2H2",2 + 0,2,Nicholas Dupre,Row / Townhouse,"$339,900",RE/MAX AFFILIATES REALTY LTD.,613,852-1081,"$339,900"
"626 SIMONEAU  WAY|Ottawa, Ontario K4A1P4",3,2,TRACY ARNETT,House,"$539,900",TRACY ARNETT REALTY LTD.,613,233-4488,"$539,900"
"10 Rue de la Petite-Ourse|Gatineau (Aylmer), Quebec J9J0S2",3,1,Benoit Brunet,House,"$479,000",Royal LePage Vallée de l'Outaouais,819,210-8670,"$479,000"
"132 Ch. Groulx|Cantley, Quebec J8V3M6",6,3,Manuel Silva,House,"$775,000",RE/MAX VISION - Hull,819,210-0102,"$775,000"
"10 Rue des Pommiers|Gatineau (Hull), Quebec J9A3V1",5,5,Mathieu Arseneault,House,"$3,185,000",RE/MAX DIRECT INC. - Gatineau,819,664-0629,"$3,185,000"
"77 Rue de Nevers|Gatineau (Gatineau), Quebec J8T4R4",4,2,Dominic LeSieur,House,"$374,900",RE/MAX VISION,819,930-1191,"$374,900"
"6861 BILBERRY DRIVE|Orleans, Ontario K1C2E8",3 + 0,2,Ryan Cole,Row / Townhouse,"$429,900",ROYAL LEPAGE PERFORMANCE REALTY,613,295-2986,"$429,900"
"626 SIMONEAU WAY|Ottawa, Ontario K4A1P4",3 + 0,2,Nina Krakowsky,House,"$539,900",TRACY ARNETT REALTY LTD.,613,697-0034,"$539,900"
"1144 GABLEFIELD PRIVATE|Ottawa, Ontario K1J1E3",0 + 2,2,Heather Meunier,House,"$349,900",KELLER WILLIAMS INTEGRITY REALTY,613,761-8343,"$349,900"
"873 OLD PERTH ROAD|Carleton Place, Ontario K7C0C5",,0,Michel Brissette,,"$799,000",EXIT REALTY MATRIX,613,668-1445,"$799,000"
"617 CAPRICORN CIRC|Ottawa, Ontario K4M0J4",3,3,HAFIZ MOHAMMAD,Row / Townhouse,"$769,900",RIGHT AT HOME REALTY INC.,647,524-7653,"$769,900"
"157 LILY POND STREET|Ottawa, Ontario K2M2L9",4 + 0,3,Josh West,House,"$779,900",KELLER WILLIAMS INTEGRITY THE WEST TEAM REALTY,613,282-5674,"$779,900"
"43 SOUTHVIEW CRESCENT|Ottawa, Ontario K2E5R4",2 + 2,2,Simon Si,House,"$629,900",ROYAL LEPAGE PERFORMANCE REALTY,613,255-3422,"$629,900"
"43 SOUTHVIEW CRESCENT|Ottawa, Ontario K2E5R4",2 + 2,2,Simon Si,House,"$629,900",ROYAL LEPAGE PERFORMANCE REALTY,613,255-3422,"$629,900"
"100 GRANT CARMAN DRIVE UNIT#102|Ottawa, Ontario K2E8B8",1 + 0,1,Paula Moloney,Apartment,"$349,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,698-7654,"$349,900"
"62 WOODROFFE AVE|Ottawa, Ontario K2A3T6",3,3,EMON BEHJATI,House,"$799,900",ROYAL LEPAGE YOUR COMMUNITY REALTY,416,637-8000,"$799,900"
"169 DAKERS ROAD|Carleton Place, Ontario K7C0C4",0 + 3,2,Laura Keller,House,"$449,900",RE/MAX AFFILIATES REALTY LTD.,613,558-7253,"$449,900"
"2233 MONDAVI STREET|Orleans, Ontario K4A4S1",3 + 0,4,Ron Corbett,House,"$549,000",PURPLEBRICKS,866,336-9637,"$549,000"
"120 BRIARGATE PRIVATE UNIT#3|Ottawa, Ontario K4A0C5",2 + 0,2,Geoff Walker,Apartment,"$359,900",RE/MAX ABSOLUTE WALKER REALTY,613,422-2055,"$359,900"
"151 AQUARIUM AVENUE|Ottawa, Ontario K4A3T9",3 + 0,3,Jeffrey Usher,House,"$600,000",GRAPE VINE REALTY INC.,613,829-1000,"$600,000"
"881 CHAPMAN BOULEVARD|Ottawa, Ontario K1G1V1",3 + 0,2,Derek Hooper,House,"$750,000",RE/MAX HALLMARK HOOPER GROUP REALTY,613,986-0156,"$750,000"
"33 Rue de Bruxelles|#7|Gatineau (Aylmer), Quebec J9J0M4",1,1,Jonathan Sigouin,Apartment,"$209,900",FLASH IMMOBILIER INC./FLASH REAL ESTATE INC.,819,743-5678,"$209,900"
"15 MURRAY STREET UNIT#3|Ottawa, Ontario K1N9M5",1 + 0,1,Marnie Bennett,Apartment,"$459,900",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$459,900"
"2111 MONTREAL ROAD UNIT#25|Ottawa, Ontario K1J8M8",3 + 0,2,Kannan Pagalam,Row / Townhouse,"$399,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,619-4867,"$399,000"
"200 RIDEAU STREET UNIT#1107|Ottawa, Ontario K1N5Y1",1 + 0,1,Ahmed El Hajj Hassan,Apartment,"$419,000",GRAPE VINE REALTY INC.,613,263-2634,"$419,000"
"51 QUINPOOL CRESCENT|Ottawa, Ontario K2H6H9",3 + 0,3,Casey McGowan,House,"$699,000",RE/MAX AFFILIATES REALTY LTD.,613,878-5831,"$699,000"
"84 KNOWLTON DRIVE|Ottawa, Ontario K2G6V3",3 + 2,4,Julia Johnston,House,"$729,900",RE/MAX AFFILIATES REALTY LTD.,613,858-8186,"$729,900"
"1683 LAKESHORE DRIVE|Greely, Ontario K4P1H1",3 + 1,5,Sue Kennedy,House,"$2,398,000",ROYAL LEPAGE TEAM REALTY,613,799-7557,"$2,398,000"
"33 Rue de Bruxelles|#7|Gatineau (Aylmer), Quebec J9J0M4",1,1,Jonathan Sigouin,Apartment,"$209,900",FLASH IMMOBILIER INC./FLASH REAL ESTATE INC.,819,743-5678,"$209,900"
"15 MURRAY STREET UNIT#3|Ottawa, Ontario K1N9M5",1 + 0,1,Marnie Bennett,Apartment,"$459,900",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$459,900"
"200 RIDEAU STREET UNIT#1107|Ottawa, Ontario K1N5Y1",1 + 0,1,Ahmed El Hajj Hassan,Apartment,"$419,000",GRAPE VINE REALTY INC.,613,263-2634,"$419,000"
"132 WINDANCE CRESCENT|Ottawa, Ontario K2W0A7",3 + 0,3,Daria Kark,Row / Townhouse,"$599,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,513-5597,"$599,900"
"32 FARM GATE CRESCENT|Ottawa, Ontario K2E7N7",3 + 0,3,Paul Rushforth,House,"$719,900",PAUL RUSHFORTH REAL ESTATE INC.,613,788-2122,"$719,900"
"869 SMYTH ROAD|Ottawa, Ontario K1G1P4",3 + 1,3,Andrew Clark,House,"$674,900",RE/MAX AFFILIATES REALTY LTD.,613,889-7056,"$674,900"
"54 VIMY RIDGE CRESCENT|Arnprior, Ontario K7S0H7",3 + 0,2,Alison Edwards,Row / Townhouse,"$489,900",INNOVATION REALTY LTD.,613,222-2727,"$489,900"
"5464 WOODEDEN DRIVE|Manotick, Ontario K4M1B4",3 + 0,3,John King,House,"$799,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,422-8688,"$799,000"
"2330 RIVER ROAD|Ottawa, Ontario K3M1B4",3 + 1,2,Geoff Walker,House,"$549,900",RE/MAX ABSOLUTE WALKER REALTY,613,422-2055,"$549,900"
"326 MOISSON STREET|Embrun, Ontario K0A1W0",2 + 0,2,Mathieu Fournier,House,"$559,900",RE/MAX DELTA REALTY,613,614-1853,"$559,900"
"164 PICTOU CRESCENT|Ottawa, Ontario K2V0R7",3 + 0,2,Heather Belajac,Row / Townhouse,"$524,900",ROYAL LEPAGE TEAM REALTY,613,804-9508,"$524,900"
"148 GRENADINE STREET|Ottawa, Ontario K2S0V3",2 + 0,3,Jason Spartalis,Row / Townhouse,"$489,900",RE/MAX AFFILIATES BOARDWALK,613,266-2460,"$489,900"
"5464 WOODEDEN DRIVE|Manotick, Ontario K4M1B4",3 + 0,3,John King,House,"$799,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,422-8688,"$799,000"
"2330 RIVER ROAD|Ottawa, Ontario K3M1B4",3 + 1,2,Geoff Walker,House,"$549,900",RE/MAX ABSOLUTE WALKER REALTY,613,422-2055,"$549,900"
"14 MCDONALD STREET|Smiths Falls, Ontario K7A1L1",2 + 1,3,Carol Barber,House,"$550,900",RE/MAX AFFILIATES REALTY LTD.,613,285-4887,"$550,900"
"29 SUNSET BOULEVARD|Perth, Ontario K7H2Y3",3 + 0,2,Amy Porteous,House,"$399,900",KELLER WILLIAMS INTEGRITY REALTY,613,299-9380,"$399,900"
"621 CAPUCHON WAY|Orleans, Ontario K4A0W2",3 + 0,3,Tom Sapinski,House,"$699,900",RE/MAX AFFILIATES REALTY LTD.,613,327-7121,"$699,900"
"116 Av. des Peupliers|Pontiac, Quebec J0X2G0",2,1,Jonathan Maher,House,"$264,900",RE/MAX DIRECT INC.,819,923-9186,"$264,900"
"738 DEVARIO CRESCENT|Ottawa, Ontario K2J6H3",4 + 0,4,Tarek El Attar,House,"$1,149,900",RE/MAX AFFILIATES CAPITAL PARTNERS,613,733-9494,"$1,149,900"
"2 DOWDALL CRESCENT|Stittsville, Ontario K2S1V1",3 + 1,2,Marnie Bennett,House,"$600,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$600,000"
"40 EDGEWARE DRIVE|Ottawa, Ontario K2J4X3",3 + 0,4,Mike Scerbo,House,"$649,000",FIDACITY REALTY,613,222-9915,"$649,000"
"2 DOWDALL CRESCENT|Stittsville, Ontario K2S1V1",3 + 1,2,Marnie Bennett,House,"$600,000",BENNETT PROPERTY SHOP REALTY,613,233-8606,"$600,000"
"40 EDGEWARE DRIVE|Ottawa, Ontario K2J4X3",3 + 0,4,Mike Scerbo,House,"$649,000",FIDACITY REALTY,613,222-9915,"$649,000"
"220 HARTHILL WAY|Nepean, Ontario K2J0P2",4 + 0,3,Lindsay Miller,House,"$749,900",ROYAL LEPAGE TEAM REALTY,613,355-5716,"$749,900"
"195 Rue du Buzet|Gatineau (Aylmer), Quebec J9H7J5",3,2,Jonathan Maher,House,"$739,900",RE/MAX DIRECT INC.,819,923-9186,"$739,900"
"428 SPARKS STREET UNIT#1402|Ottawa, Ontario K1R0B3",1 + 0,1,Eric Vani,Apartment,"$539,900",SUTTON GROUP - OTTAWA REALTY,613,862-8264,"$539,900"
"314 KIRCHOFFER AVENUE|Ottawa, Ontario K2A1Y3",3 + 1,4,Kelly Ebbs,House,"$1,425,000",ROYAL LEPAGE TEAM REALTY,613,799-9768,"$1,425,000"
"77 LEES AVENUE|Ottawa, Ontario K1S0B8",3 + 0,2,Jennifer Keeley,Duplex,"$749,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,791-6186,"$749,000"
"35 BELLROCK DRIVE|Kanata, Ontario K2K3J4",3 + 0,3,Steven Liao,Row / Townhouse,"$589,800",CENTURY 21 EXPLORER STEVEN LIAO REALTY INC.,613,818-9066,"$589,800"
"2773 PIMLICO CRESCENT|Ottawa, Ontario K1T2A7",3 + 0,2,Bruno Gamache,Row / Townhouse,"$355,000",KELLER WILLIAMS INTEGRITY REALTY,613,878-3310,"$355,000"
"324 EVERGLADE WAY|Ottawa, Ontario K2M0K9",4 + 1,4,Adam Mills,House,"$1,100,000",ROYAL LEPAGE TEAM REALTY ADAM MILLS,613,825-7653,"$1,100,000"
"133 TEAL CRESCENT|Ottawa, Ontario K1E2C1",3 + 0,2,Jen Parker,Row / Townhouse,"$369,900",RE/MAX HALLMARK REALTY GROUP,613,314-6111,"$369,900"
"1646 ORFORD CRESCENT|Orleans, Ontario K4A1V2",4 + 1,4,Marc Evans,House,"$874,900",RE/MAX DELTA REALTY TEAM,613,868-4383,"$874,900"
"61 DAMSELFISH WALK|Ottawa, Ontario K4A2N3",3 + 0,4,Kevin Drew,Row / Townhouse,"$634,900",ROYAL LEPAGE TEAM REALTY,613,404-3958,"$634,900"
"48 Rue Ste-Marie|Gatineau (Hull), Quebec J8Y2A5",2,1,Andrew Payette,Triplex,"$599,900",Royal LePage Vallée de l'Outaouais,819,962-7487,"$599,900"
"387 HATFIELD CRESCENT|Ottawa, Ontario K1E1M6",3 + 1,2,Lisa Boutilier,House,"$575,000",ROYAL LEPAGE PERFORMANCE REALTY,613,355-9494,"$575,000"
"983 LUCILLE WAY|Ottawa, Ontario K4A4J2",3 + 0,3,Geoff Walker,Row / Townhouse,"$619,000",RE/MAX ABSOLUTE WALKER REALTY,613,422-2055,"$619,000"
"778 CARMELLA CRESCENT|Ottawa, Ontario K4A4W2",4 + 0,3,Saadiq Hussain,Row / Townhouse,"$579,900",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$579,900"
"1481 BRIARFIELD CRESCENT|Orleans, Ontario K4A1W6",3 + 0,3,Paul Rushforth,Row / Townhouse,"$499,900",PAUL RUSHFORTH REAL ESTATE INC.,613,788-2122,"$499,900"
"1614 MEADOWFIELD PLACE|Ottawa, Ontario K1C5V3",4 + 0,3,Sue Fox,House,"$689,000",RE/MAX AFFILIATES REALTY LTD.,613,558-6822,"$689,000"
"545 ST LAURENT BOULEVARD UNIT#2404|Ottawa, Ontario K1K4N1",2 + 0,2,Reed Allen,Apartment,"$525,000",RE/MAX HALLMARK REALTY GROUP,613,762-7818,"$525,000"
"16 WESTCHESTER COURT|Ottawa, Ontario K2J3P9",4 + 0,3,Rocco Disipio,House,"$795,000",ROYAL LEPAGE TEAM REALTY,613,277-4537,"$795,000"
"153 POPLIN STREET|Manotick, Ontario K4M0E2",2 + 0,2,Brad MacNeil,House,"$549,900",CENTURY 21 SYNERGY REALTY INC,613,880-5743,"$549,900"
"3480 SOUTHGATE ROAD|Ottawa, Ontario K1V9P9",3 + 0,2,Ana Ideias,Row / Townhouse,"$499,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,883-3650,"$499,000"
"24 CHARING ROAD|Ottawa, Ontario K2G0Z5",3 + 1,3,Sean McCann,House,"$699,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,806-1171,"$699,900"
"2437 NUTGROVE AVENUE|Ottawa, Ontario K2J0X4",2 + 0,2,Scott Weegar,Row / Townhouse,"$529,900",OTTAWA PROPERTY GROUP REALTY INC.,613,797-8500,"$529,900"
"115 ANDREWSVILLE ROAD|Merrickville, Ontario K0G1N0",3 + 0,3,Rilla Seward-McShane,House,"$929,900",COLDWELL BANKER COBURN REALTY,613,295-5975,"$929,900"
"2583 SEVERN AVENUE|Ottawa, Ontario K2B7V8",2 + 1,2,Dan Horan,House,"$599,900",RE/MAX HALLMARK REALTY GROUP,613,255-6494,"$599,900"
"3480 SOUTHGATE ROAD|Ottawa, Ontario K1V9P9",3 + 0,2,Ana Ideias,Row / Townhouse,"$499,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,883-3650,"$499,000"
"445 KINTYRE PRIVATE|Ottawa, Ontario K2C3M9",3 + 0,2,Colleen Rushforth,Row / Townhouse,"$399,900",RE/MAX HALLMARK REALTY GROUP,613,291-2668,"$399,900"
"2168 BINGHAM STREET|Ottawa, Ontario K1G2V7",3 + 1,2,Reed Allen,House,"$549,900",RE/MAX HALLMARK REALTY GROUP,613,762-7818,"$549,900"
"24 CHARING ROAD|Ottawa, Ontario K2G0Z5",3 + 1,3,Sean McCann,House,"$699,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,806-1171,"$699,900"
"101 BERT HALL STREET|Arnprior, Ontario K7S3G9",5 + 0,3,Ashlee Odam,House,"$799,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,864-7951,"$799,000"
"1725 HEATHERINGTON ROAD|Ottawa, Ontario K1V8T8",3 + 0,2,Peter Benoit,Row / Townhouse,"$319,900",ROYAL LEPAGE PERFORMANCE REALTY,613,447-2497,"$319,900"
"195 & 195C OLD ORCHARD ROAD|Merrickville, Ontario K0G1N0",4 + 0,4,Julia Forbes,House,"$475,000",ROYAL LEPAGE TEAM REALTY,613,618-0131,"$475,000"
"955 EADIE ROAD|Russell, Ontario K4R1E5",3 + 0,2,Jack H. Fagan,House,"$749,900",CANADIAN BUSINESS SERVICES LTD.,613,725-6466,"$749,900"
"20 STOCKHOLM PRIVATE|Ottawa, Ontario K4M0G9",2 + 0,4,Anthony Ianni,Row / Townhouse,"$499,900",RE/MAX HALLMARK REALTY GROUP,613,850-9553,"$499,900"
"11 DRAINIE DRIVE|Ottawa, Ontario K2L3J6",4 + 0,4,Chris Nicholson,House,"$750,000",RE/MAX HALLMARK REALTY GROUP,613,799-4006,"$750,000"
"528 SNOW GOOSE STREET|Ottawa, Ontario K2J5Y9",3 + 0,2,Jeff Miller,Row / Townhouse,"$535,000",RE/MAX AFFILIATES REALTY LTD.,613,558-8000,"$535,000"
"317 COZUMEL PRIVATE|Ottawa, Ontario K4A0V2",3 + 0,2,Kristine Johnson,Row / Townhouse,"$500,000",RE/MAX ABSOLUTE REALTY INC.,613,262-2742,"$500,000"
"78 PROPER STREET|Braeside, Ontario K0A1G0",3 + 0,2,Donna Defalco,House,"$569,900",COLDWELL BANKER VALLEY WIDE REAL ESTATE LTD,613,979-2601,"$569,900"
"133 Rue des Becs-Scie|Gatineau (Masson-Angers), Quebec J8M0A5",4,1,Gabriel Vermette,House,"$349,900",RE/MAX VISION,819,923-0563,"$349,900"
